date,value
2021-12-09,62852
2021-12-10,45756
2021-12-11,39889
2021-12-12,102090
2021-12-13,59104
2021-12-14,48071
2021-12-15,50058
2021-12-16,52694
2021-12-17,57207
2021-12-18,26957
2021-12-19,43522
2021-12-20,35479
2021-12-21,37591
2021-12-22,60634
2021-12-23,63425
2021-12-24,38915
2021-12-25,65190
2021-12-26,46256
2021-12-27,24338
2021-12-28,37528
2021-12-29,48533
2021-12-30,43221
2021-12-31,37297
2022-01-01,34918
2022-01-02,60691
2022-01-03,35199
2022-01-04,33848
2022-01-05,20752
2022-01-06,49276
2022-01-07,43097
2022-01-08,46090
2022-01-09,59334
2022-01-10,109910
2022-01-11,54713
2022-01-12,99749
2022-01-13,101535
2022-01-14,33659
2022-01-15,45902
2022-01-16,44087
2022-01-17,38103
2022-01-18,60058
2022-01-19,73729
2022-01-20,52672
2022-01-21,34950
2022-01-22,37911
2022-01-23,44648
2022-01-24,121671
2022-01-25,34194
2022-01-26,36836
2022-01-27,68683
2022-01-28,54809
2022-01-29,64608
2022-01-30,44845
2022-01-31,10806
2022-02-01,33358
2022-02-02,46579
2022-02-03,42835
2022-02-04,32447
2022-02-05,39206
2022-02-06,41771
2022-02-07,55430
2022-02-08,47417
2022-02-09,91174
2022-02-10,38565
2022-02-11,100867
2022-02-12,113600
2022-02-13,55844
2022-02-14,52901
2022-02-15,47304
2022-02-16,42822
2022-02-17,51854
2022-02-18,36879
2022-02-19,40758
2022-02-20,53508
2022-02-21,96754
2022-02-22,41826
2022-02-23,45298
2022-02-24,46335
2022-02-25,51438
2022-02-26,65154
2022-02-27,63483
2022-02-28,33202
2022-03-01,41170
2022-03-02,42236
2022-03-03,38935
2022-03-04,49862
2022-03-05,112403
2022-03-06,41371
2022-03-07,46399
2022-03-08,51016
2022-03-09,84271
2022-03-10,62223
2022-03-11,49236
2022-03-12,40728
2022-03-13,48372
2022-03-14,43857
2022-03-15,36816
2022-03-16,64581
2022-03-17,39378
2022-03-18,34959
2022-03-19,34944
2022-03-20,45712
2022-03-21,56822
2022-03-22,60172
2022-03-23,36039
2022-03-24,59837
2022-03-25,24854
2022-03-26,39359
2022-03-27,27953
2022-03-28,50365
2022-03-29,57722
2022-03-30,47156
2022-03-31,26160
2022-04-01,33999
2022-04-02,56336
2022-04-03,37178
2022-04-04,52253
2022-04-05,55409
2022-04-06,32910
2022-04-07,42647
2022-04-08,36004
2022-04-09,42664
2022-04-10,78955
2022-04-11,34952
2022-04-12,36904
2022-04-13,41500
2022-04-14,51641
2022-04-15,58595
2022-04-16,32905
2022-04-17,50266
2022-04-18,65364
2022-04-19,38253
2022-04-20,49944
2022-04-21,57034
2022-04-22,43067
2022-04-23,56687
2022-04-24,33965
2022-04-25,122774
2022-04-26,86908
2022-04-27,49960
2022-04-28,54487
2022-04-29,56987
2022-04-30,49123
2022-05-01,58325
2022-05-02,45950
2022-05-03,61830
2022-05-04,49935
2022-05-05,36856
2022-05-06,56009
2022-05-07,56366
2022-05-08,42647
2022-05-09,60218
2022-05-10,41866
2022-05-11,46031
2022-05-12,48668
2022-05-13,33852
2022-05-14,39363
2022-05-15,63421
2022-05-16,101378
2022-05-17,86162
2022-05-18,48478
2022-05-19,74846
2022-05-20,78223
2022-05-21,36340
2022-05-22,53263
2022-05-23,49776
2022-05-24,85101
2022-05-25,52497
2022-05-26,36985
2022-05-27,60061
2022-05-28,47281
2022-05-29,27442
2022-05-30,25047
2022-05-31,29072
2022-06-01,92883
2022-06-02,32874
2022-06-03,38807
2022-06-04,38005
2022-06-05,60707
2022-06-06,58064
2022-06-07,130118
2022-06-08,42373
2022-06-09,41890
2022-06-10,44981
2022-06-11,42493
2022-06-12,35674
2022-06-13,33009
2022-06-14,36681
2022-06-15,79686
2022-06-16,36840
2022-06-17,79426
2022-06-18,120857
2022-06-19,70203
2022-06-20,87446
2022-06-21,50907
2022-06-22,59858
2022-06-23,47332
2022-06-24,58432
2022-06-25,36167
2022-06-26,56169
2022-06-27,22959
2022-06-28,63502
2022-06-29,51504
2022-06-30,34804
2022-07-01,51120
2022-07-02,58200
2022-07-03,22269
2022-07-04,61201
2022-07-05,37246
2022-07-06,46277
2022-07-07,34550
2022-07-08,41483
2022-07-09,28840
2022-07-10,41832
2022-07-11,62993
2022-07-12,41461
2022-07-13,44979
2022-07-14,35634
2022-07-15,27414
2022-07-16,39503
2022-07-17,43326
2022-07-18,45209
2022-07-19,47377
2022-07-20,24716
2022-07-21,48136
2022-07-22,65301
2022-07-23,27074
2022-07-24,36829
2022-07-25,33916
2022-07-26,50007
2022-07-27,28890
2022-07-28,25561
2022-07-29,34232
2022-07-30,35775
2022-07-31,37254
2022-08-01,40349
2022-08-02,121122
2022-08-03,45615
2022-08-04,109975
2022-08-05,33657
2022-08-06,36288
2022-08-07,52371
2022-08-08,53082
2022-08-09,36722
2022-08-10,26452
2022-08-11,61844
2022-08-12,50501
2022-08-13,48979
2022-08-14,52317
2022-08-15,65212
2022-08-16,61702
2022-08-17,37103
2022-08-18,56114
2022-08-19,51753
2022-08-20,45503
2022-08-21,35343
2022-08-22,100699
2022-08-23,46602
2022-08-24,36057
2022-08-25,64797
2022-08-26,35242
2022-08-27,42483
2022-08-28,57603
2022-08-29,56810
2022-08-30,59169
2022-08-31,62885
2022-09-01,50252
2022-09-02,34150
2022-09-03,37815
2022-09-04,46253
2022-09-05,33322
2022-09-06,48200
